group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
A,符号型,web_auto,2.777352,13,4×4,8,32,,2,2 bit (4色),四角,0,1,,1,6,0.36333333333333334,0.2038888888888889,1,0,false,0,0.005859375,0.0455625
A,符号型,web_auto,2.777352,13,4×4,13,52,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0014792899408284023,0.011502958579881655
A,符号型,web_auto,2.777352,13,4×4,13,52,,2,2 bit (4色),四角,0,1,,1,6,0.2816666666666667,0.1388888888888889,1,0,false,0,0.0022189349112426036,0.017254437869822486
A,符号型,web_auto,2.777352,13,8×8,1,8,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.9133333333333333,0.9133333333333333,1,0,false,0,0.0625,0.486
A,符号型,web_auto,2.777352,13,8×8,1,8,,2,2 bit (4色),四角,0,1,,1,6,0.9466666666666667,0.7505555555555555,1,0,false,0,0.09375,0.729
A,符号型,web_auto,2.777352,13,8×8,1.5,12,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.7783333333333333,0.7783333333333333,1,0,false,0,0.027777777777777776,0.21599999999999997
A,符号型,web_auto,2.777352,13,8×8,1.5,12,,2,2 bit (4色),四角,0,1,,1,6,0.8516666666666667,0.6461111111111111,1,0,false,0,0.041666666666666664,0.324
A,符号型,web_auto,2.777352,13,8×8,2,16,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.4766666666666667,0.4766666666666667,1,0,false,0,0.015625,0.1215
A,符号型,web_auto,2.777352,13,8×8,2,16,,2,2 bit (4色),四角,0,1,,1,6,0.74,0.5577777777777778,1,0,false,0,0.0234375,0.18225
A,符号型,web_auto,2.777352,13,8×8,3,24,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.043333333333333335,0.043333333333333335,0.8751847317867159,0,false,0,0.006944444444444444,0.05399999999999999
A,符号型,web_auto,2.777352,13,8×8,3,24,,2,2 bit (4色),四角,0,1,,1,6,0.46,0.33944444444444444,1,0,false,0,0.010416666666666666,0.081
A,符号型,web_auto,2.777352,13,8×8,5,40,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0025,0.01944
A,符号型,web_auto,2.777352,13,8×8,5,40,,2,2 bit (4色),四角,0,1,,1,6,0.33,0.2238888888888889,1,0,false,0,0.00375,0.029159999999999995
A,符号型,web_auto,2.777352,13,8×8,8,64,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0009765625,0.00759375
A,符号型,web_auto,2.777352,13,8×8,8,64,,2,2 bit (4色),四角,0,1,,1,6,0.2633333333333333,0.16277777777777777,1,0,false,0,0.00146484375,0.011390625
A,符号型,web_auto,2.777352,13,8×8,13,104,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0003698224852071006,0.002875739644970414
A,符号型,web_auto,2.777352,13,8×8,13,104,,2,2 bit (4色),四角,0,1,,1,6,0.17,0.10277777777777777,0.9999999989203181,0,false,0,0.0005547337278106509,0.0043136094674556215
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),无,0,0.3333333333333333,,1,1,0.49266666666666664,0.49266666666666664,1,0,false,0,0.1111111111111111,0.8639999999999999
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),无,0,0.5,,1,1,0.49266666666666664,0.49266666666666664,1,0,false,0,0.1111111111111111,0.8639999999999999
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),无,0,0.6666666666666666,,1,1,0.49266666666666664,0.49266666666666664,1,0,false,0,0.1111111111111111,0.8639999999999999
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),无,0,1,,1,1,0.49266666666666664,0.49266666666666664,1,0,false,0,0.1111111111111111,0.8639999999999999
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),四角,0,0.3333333333333333,,1,1,0,0,0,1,true,0,0.1111111111111111,0.8639999999999999
